$ ruby-prof 03-prototype/main.rb
Thread ID: 70353863173220
Fiber ID: 70353897479280
Total: 65.707178
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.001     0.000     0.000     0.000       24   Module#include
  0.00      0.000     0.000     0.000     0.000        3   Magick::Image::Info#format=
  0.00      0.000     0.000     0.000     0.000      213   Float#<
  0.00      0.000     0.000     0.000     0.000      235   Gosu::Window#mouse_y
  0.00      0.000     0.000     0.000     0.000      265   Float#round
  0.00     50.201     0.000     0.000    50.201       99   Map#draw
  0.00      0.000     0.000     0.000     0.000      124   GameState#needs_redraw?
  0.00      0.000     0.000     0.000     0.000       26   <Module::Gosu>#default_font_name
  0.00      0.000     0.000     0.000     0.000      198   Fixnum#<
  0.00      0.016     0.000     0.000     0.015       25   MenuState#update
  0.00      0.000     0.000     0.000     0.000      412   Magick::Enum#initialize
  0.00      0.000     0.000     0.000     0.000      198   Gosu::Window#draw_line
  0.00     14.600     0.000     0.000    14.599   281001  *Class#new
  0.00     14.350     0.000     0.000    14.349   120101  *Integer#times
  0.00      0.020     0.000     0.000     0.020       26   <Class::Gosu::Image>#from_text
  0.00      0.000     0.000     0.000     0.000      191   Float#floor
  0.00      0.000     0.000     0.000     0.000      191   Float#%
  0.00      0.000     0.000     0.000     0.000       99   <Module::Math>#atan2
  0.00      0.000     0.000     0.000     0.000      413   String#==
  0.00      0.000     0.000     0.000     0.000       27   Bullet#fire
  0.00      0.000     0.000     0.000     0.000      236   Module#const_set
  0.00      0.000     0.000     0.000     0.000       62   IO#set_encoding
  0.00      0.000     0.000     0.000     0.000       99   String#<<
  0.00      0.000     0.000     0.000     0.000       11   Module#instance_methods
  0.00     14.545     0.000     0.000    14.544       38   GameWindow#button_down
  0.00      0.000     0.000     0.000     0.000      134   <Module::Gem>#suffixes
  0.00      0.000     0.000     0.000     0.000      100   BasicObject#==
  0.00      0.000     0.000     0.000     0.000      100   Float#-@
  0.00      0.002     0.000     0.000     0.002      215  *Enumerable#any?
  0.00      0.005     0.000     0.000     0.005       24   Explosion#initialize
  0.00      0.000     0.000     0.000     0.000       65   MonitorMixin#mon_check_owner
  0.00      0.000     0.000     0.000     0.000       99   <Module::Gosu>#fps
  0.00      0.000     0.000     0.000     0.000      199   BasicObject#singleton_method_added
  0.00      0.000     0.000     0.000     0.000      109   Gem::Specification#full_gem_path
  0.00     65.707     0.000     0.000    65.707        2   Global#[No method]
  0.00      0.000     0.000     0.000     0.000      244   String#===
  0.00      0.000     0.000     0.000     0.000      123   Class#inherited
  0.00      0.080     0.000     0.000     0.080       31  *Kernel#require
  0.00      0.000     0.000     0.000     0.000      195   <Class::Thread>#current
  0.00      0.000     0.000     0.000     0.000      215   Symbol#==
  0.00      0.000     0.000     0.000     0.000        8   Gem::Version#<=>
  0.00      0.000     0.000     0.000     0.000        5   Array#include?
  0.00      0.000     0.000     0.000     0.000       63   Magick::CompositeOperator#initialize
  0.00      0.002     0.000     0.000     0.002       27   Bullet#sound
  0.00      0.000     0.000     0.000     0.000        8   Module#constants
  0.00      0.000     0.000     0.000     0.000       26   String#force_encoding
  0.00      0.000     0.000     0.000     0.000       19   Array#select
  0.00      0.000     0.000     0.000     0.000       24   Gosu::Song#pause
  0.00      0.000     0.000     0.000     0.000       31   <Module::Gem>#find_unresolved_default_spec
  0.00      0.000     0.000     0.000     0.000       38   Gosu::Window#button_up
  0.00      0.000     0.000     0.000     0.000        2   String#scan
  0.00      0.000     0.000     0.000     0.000       10   Module#attr_accessor
  0.00      0.000     0.000     0.000     0.000        2   Gosu::Song#stop
  0.00      0.000     0.000     0.000     0.000       20   <Class::File>#join
  0.00      0.000     0.000     0.000     0.000       28   <Class::File>#dirname
  0.00      0.000     0.000     0.000     0.000       31   Kernel#respond_to?
  0.00      0.000     0.000     0.000     0.000        1   <Class::IO>#read
  0.00      0.000     0.000     0.000     0.000       65   Mutex#unlock
  0.00      0.000     0.000     0.000     0.000       19   Magick::CompressionType#initialize
  0.00      0.002     0.000     0.000     0.002       10   Module#class_eval
  0.00      0.000     0.000     0.000     0.000       98   Kernel#freeze
  0.00      0.000     0.000     0.000     0.000       65   Mutex#lock
  0.00      0.000     0.000     0.000     0.000       36   <Class::Gem::Specification>#unresolved_deps
  0.00      0.000     0.000     0.000     0.000       30   Magick::PreviewType#initialize
  0.00      0.004     0.000     0.000     0.004       24   Explosion#sound
  0.00      0.000     0.000     0.000     0.000        1   Kernel#lambda
  0.00      0.000     0.000     0.000     0.000       40   Gem::Dependency#type
  0.00      0.000     0.000     0.000     0.000       26   Magick::QuantumExpressionOperator#initialize
  0.00      0.000     0.000     0.000     0.000       28   Array#<<
  0.00      0.000     0.000     0.000     0.000        8   <Module::Game>#media_path
  0.00      0.000     0.000     0.000     0.000        5   Gem::Specification#add_self_to_load_path
  0.00      0.000     0.000     0.000     0.000       22   Magick::FilterTypes#initialize
  0.00      0.000     0.000     0.000     0.000        1   Gosu::Window#close
  0.00      0.000     0.000     0.000     0.000       11   <Class::Gosu::Color>#argb
  0.00      0.002     0.000     0.000     0.002        5  *Gem::Specification#activate
  0.00      0.000     0.000     0.000     0.000        1   Random#initialize
  0.00      0.000     0.000     0.000     0.000       10   <Module::JSON>#deep_const_get
  0.00      0.000     0.000     0.000     0.000       18   Magick::VirtualPixelMethod#initialize
  0.00      0.000     0.000     0.000     0.000       19   Gem::Specification#runtime_dependencies
  0.00      0.023     0.000     0.000     0.023        3   Gosu::TexturePacker::Tileset#frame
  0.00      0.075     0.000     0.000     0.075        1   Tank#initialize
  0.00      0.000     0.000     0.000     0.000       23   Magick::ColorspaceType#initialize
  0.00      0.004     0.000     0.000     0.004        9   <Class::Gem::Specification>#each
  0.00      0.000     0.000     0.000     0.000        5   <Module::Exception2MessageMapper>#def_exception
  0.00      0.000     0.000     0.000     0.000       12   String#split
  0.00      0.000     0.000     0.000     0.000        7   Module#attr_reader
  0.00      0.000     0.000     0.000     0.000       18   Magick::ChannelType#initialize
  0.00      0.001     0.000     0.000     0.000        5   Gem::Specification#raise_if_conflicts
  0.00      0.000     0.000     0.000     0.000       19   Gem::Specification#dependencies
  0.00      0.000     0.000     0.000     0.000       34   Kernel#respond_to_missing?
  0.00      0.000     0.000     0.000     0.000       16   Module#alias_method
  0.00      0.000     0.000     0.000     0.000        3   Gem::Dependency#initialize
  0.00      0.000     0.000     0.000     0.000       23   Hash#delete
  0.00      0.022     0.000     0.000     0.022        3   Gosu::TexturePacker::Tileset#build_tile
  0.00      0.000     0.000     0.000     0.000        5   Magick::PaintMethod#initialize
  0.00      0.000     0.000     0.000     0.000        2   <Class::Gosu::Song>#current_song
  0.00      0.072     0.000     0.000     0.072        1   Map#load_tiles
  0.00     14.389     0.000     0.000    14.389        1   Map#generate_map
  0.00      0.040     0.000     0.000     0.040        1   Perlin::Noise#initialize
  0.00      0.000     0.000     0.000     0.000       24   Module#append_features
  0.00      0.000     0.000     0.000     0.000       22   Module#private
  0.00      0.000     0.000     0.000     0.000       16   Magick::ImageLayerMethod#initialize
  0.00      0.000     0.000     0.000     0.000       16   Magick::DistortImageMethod#initialize
  0.00      0.000     0.000     0.000     0.000        5   <Module::Gem>#default_dir
  0.00      0.000     0.000     0.000     0.000       43   Magick::Enum#to_i
  0.00      0.006     0.000     0.000     0.006        2   Gosu::Sample#initialize
  0.00      0.000     0.000     0.000     0.000       12   Magick::GravityType#initialize
  0.00      0.000     0.000     0.000     0.000        8   BasicObject#instance_eval
  0.00      0.000     0.000     0.000     0.000       12   Magick::ImageType#initialize
  0.00      0.001     0.000     0.000     0.001       17   Enumerable#find_all
  0.00      0.019     0.000     0.000     0.019        2   Gosu::Song#initialize
  0.00      0.009     0.000     0.000     0.009        1   <Module::JSON>#generator=
  0.00      0.000     0.000     0.000     0.000        5   Gem::Specification#default_gem?
  0.00      0.000     0.000     0.000     0.000       16   Gem::Version#segments
  0.00      0.000     0.000     0.000     0.000        7   Module#define_method
  0.00      0.001     0.000     0.000     0.001        3   Gem::Dependency#matching_specs
  0.00      0.000     0.000     0.000     0.000        9   <Class::Gem::Specification>#_all
  0.00      0.000     0.000     0.000     0.000        8   Kernel#extend
  0.00      0.000     0.000     0.000     0.000        5   <Class::Gem::Specification>#default_specifications_dir
  0.00      0.000     0.000     0.000     0.000       11   Module#const_defined?
  0.00      0.000     0.000     0.000     0.000        4   <Module::Exception2MessageMapper>#extend_object
  0.00      0.001     0.000     0.000     0.001        5  *Gem::Specification#activate_dependencies
  0.00      0.000     0.000     0.000     0.000        6   Gem::Requirement#satisfied_by?
  0.00      0.000     0.000     0.000     0.000        5   <Module::Gem>#load_path_insert_index
  0.00      0.005     0.000     0.000     0.005        3   <Module::Gem>#try_activate
  0.00      0.000     0.000     0.000     0.000        3   Gem::Requirement#initialize
  0.00      0.000     0.000     0.000     0.000        5   Gem::Specification#conflicts
  0.00      0.000     0.000     0.000     0.000       11   Magick::AlphaChannelType#initialize
  0.00      0.000     0.000     0.000     0.000        1   Map#find_spawn_point
  0.00      0.019     0.000     0.000     0.019        4   MenuState#music
  0.00      0.000     0.000     0.000     0.000        1   JSON::Ext::Parser#initialize
  0.00      0.000     0.000     0.000     0.000        3   JSON::Ext::Generator::State#initialize
  0.00      0.000     0.000     0.000     0.000        5   Array#index
  0.00      0.000     0.000     0.000     0.000        4   Array#flatten
  0.00      0.000     0.000     0.000     0.000        3   Magick::Image#columns
  0.00      0.000     0.000     0.000     0.000        8   Module#extend_object
  0.00      0.000     0.000     0.000     0.000       11   <Module::JSON>#const_defined_in?
  0.00      0.000     0.000     0.000     0.000        3   Magick::Image::Info#depth=
  0.00     14.536     0.000     0.000    14.536        1   MenuState#button_down
  0.00      0.052     0.000     0.000     0.052        1   Gosu::TexturePacker::Tileset#initialize
  0.00      0.000     0.000     0.000     0.000       20   Module#included
  0.00      0.000     0.000     0.000     0.000        5   Magick::WeightType#initialize
  0.00      0.000     0.000     0.000     0.000        3   Gosu::Song#volume=
  0.00      0.000     0.000     0.000     0.000        6   Comparable#>=
  0.00      0.000     0.000     0.000     0.000        8   Magick::InterpolatePixelMethod#initialize
  0.00     14.536     0.000     0.000    14.536        1   PlayState#initialize
  0.00      0.020     0.000     0.000     0.020        2   <Class::GameState>#switch
  0.00      0.000     0.000     0.000     0.000        5   <Module::Gem>#platforms
  0.00      0.000     0.000     0.000     0.000        9   Gem::Dependency#requirement
  0.00      0.003     0.000     0.000     0.003        7   Enumerable#find
  0.00      0.000     0.000     0.000     0.000        8   Magick::MetricType#initialize
  0.00      0.000     0.000     0.000     0.000        6   Magick::ComplianceType#initialize
  0.00      0.000     0.000     0.000     0.000       10   Magick::StretchType#initialize
  0.00      0.014     0.000     0.000     0.014        1   Magick::ImageList#initialize
  0.00      0.000     0.000     0.000     0.000        5   Class#initialize
  0.00      0.005     0.000     0.000     0.005        1   Mutex#synchronize
  0.00      0.020     0.000     0.000     0.020        1   MenuState#enter
  0.00      0.000     0.000     0.000     0.000        3   Enumerable#sort_by
  0.00      0.000     0.000     0.000     0.000        8   Magick::StorageType#initialize
  0.00      0.051     0.000     0.000     0.051        1   Gosu::TexturePacker::Tileset#build_main_image
  0.00      0.000     0.000     0.000     0.000        8   Magick::InterlaceType#initialize
  0.00      0.001     0.000     0.000     0.001        1   Kernel#gem
  0.00      0.000     0.000     0.000     0.000        3   Exception#initialize
  0.00      0.000     0.000     0.000     0.000        4   Magick::AlignType#initialize
  0.00     65.605     0.000     0.000    65.605      446  *Gosu::Window#show
  0.00      0.000     0.000     0.000     0.000        6   Enumerable#all?
  0.00      0.000     0.000     0.000     0.000        9   String#to_i
  0.00      0.005     0.000     0.000     0.005        1   MenuState#initialize
  0.00      0.001     0.000     0.000     0.001        3   Gem::Dependency#to_specs
  0.00      0.000     0.000     0.000     0.000        1   Array#uniq
  0.00      0.040     0.000     0.000     0.040        1   Perlin::GradientTable#initialize
  0.00      0.000     0.000     0.000     0.000        5   Magick::RenderingIntent#initialize
  0.00      0.000     0.000     0.000     0.000        4   Magick::DecorationType#initialize
  0.00      0.000     0.000     0.000     0.000        9   Integer#floor
  0.00      0.000     0.000     0.000     0.000        7   Integer#round
  0.00      0.000     0.000     0.000     0.000        3   <Module::ExceptionForMatrix>#included
  0.00      0.000     0.000     0.000     0.000        1   <Module::JSON::Ext::Generator::GeneratorMethods::String>#included
  0.00      0.000     0.000     0.000     0.000        3   <Class::Gem::Requirement>#create
  0.00      0.000     0.000     0.000     0.000        9   Magick::OrientationType#initialize
  0.00      0.000     0.000     0.000     0.000        3   Gosu::TexturePacker::Tileset#frames
  0.00     14.461     0.000     0.000    14.461        1   Map#initialize
  0.00      0.000     0.000     0.000     0.000        5   Hash#values
  0.00      0.028     0.000     0.000     0.028        1   GameWindow#initialize
  0.00      0.000     0.000     0.000     0.000        1   <Class::File>#exist?
  0.00      0.000     0.000     0.000     0.000        5   <Class::Gem::Platform>#match
  0.00      0.000     0.000     0.000     0.000        5   Module#module_function
  0.00      0.000     0.000     0.000     0.000        4   Magick::StyleType#initialize
  0.00      0.000     0.000     0.000     0.000        7   Magick::NoiseType#initialize
  0.00      0.000     0.000     0.000     0.000       15   Hash#key?
  0.00      0.000     0.000     0.000     0.000        3   Magick::EndianType#initialize
  0.00      0.000     0.000     0.000     0.000        4   Magick::DisposeType#initialize
  0.00      0.000     0.000     0.000     0.000        1   <Class::Gem::Requirement>#parse
  0.00      0.000     0.000     0.000     0.000        1   <Module::Singleton>#included
  0.00      0.005     0.000     0.000     0.005        1   <Class::MenuState>#instance
  0.00      0.000     0.000     0.000     0.000        2   Array#<=>
  0.00      0.000     0.000     0.000     0.000        5   Gem::Specification#sort_obj
  0.00      0.000     0.000     0.000     0.000        3   Module#private_class_method
  0.00      0.000     0.000     0.000     0.000        5   Array#insert
  0.00      0.000     0.000     0.000     0.000        1   String#encode
  0.00      0.000     0.000     0.000     0.000        3   Magick::AnchorType#initialize
  0.00      0.000     0.000     0.000     0.000        5   Magick::MagickFunction#initialize
  0.00      0.000     0.000     0.000     0.000        5   Fixnum#<=
  0.00      0.000     0.000     0.000     0.000        1   Gosu::TexturePacker::Tileset#image_file
  0.00      0.000     0.000     0.000     0.000        1   Gem::Specification#files
  0.00      0.000     0.000     0.000     0.000        1   Gem::Dependency#to_spec
  0.00      0.000     0.000     0.000     0.000        1   Gem::Requirement#==
  0.00      0.000     0.000     0.000     0.000        6   Exception#message
  0.00      0.003     0.000     0.000     0.003        3   <Class::Gem::Specification>#find_inactive_by_path
  0.00      0.000     0.000     0.000     0.000        1   Gem::Dependency#merge
  0.00      0.000     0.000     0.000     0.000        1   Proc#yield
  0.00      0.001     0.000     0.000     0.001        1   JSON#parse
  0.00      0.000     0.000     0.000     0.000        4   Magick::DitherMethod#initialize
  0.00      0.000     0.000     0.000     0.000        4   Magick::SpreadMethod#initialize
  0.00      0.000     0.000     0.000     0.000        2   Kernel#rand
  0.00      0.000     0.000     0.000     0.000        3   Magick::Image#rows
  0.00      0.000     0.000     0.000     0.000        3   Magick::ResolutionType#initialize
  0.00      0.000     0.000     0.000     0.000        2   Module#autoload
  0.00      0.000     0.000     0.000     0.000        4   Exception2MessageMapper#bind
  0.00      0.000     0.000     0.000     0.000        1   Gem::Specification#add_bindir
  0.00      0.000     0.000     0.000     0.000        1   <Module::Perlin::Curve>#contrast
  0.00      0.000     0.000     0.000     0.000        3   String#to_str
  0.00      0.000     0.000     0.000     0.000        7   Kernel#is_a?
  0.00      0.000     0.000     0.000     0.000        4   Array#shift
  0.00      0.000     0.000     0.000     0.000        2   Magick::ImageList#length
  0.00      0.000     0.000     0.000     0.000        1   MenuState#leave
  0.00      0.000     0.000     0.000     0.000        3   Exception#backtrace
  0.00      0.000     0.000     0.000     0.000        1   <Module::JSON>#parser=
  0.00      0.000     0.000     0.000     0.000        1   <Module::Singleton>#__init__
  0.00      0.000     0.000     0.000     0.000        1   Module#attr_writer
  0.00      0.000     0.000     0.000     0.000       10   String#empty?
  0.00      0.000     0.000     0.000     0.000        4   Exception2MessageMapper#def_exception
  0.00      0.000     0.000     0.000     0.000        2   Gem::Requirement#as_list
  0.00      0.000     0.000     0.000     0.000        1   Hash#initialize_copy
  0.00      0.000     0.000     0.000     0.000        4   Regexp#to_s
  0.00      0.000     0.000     0.000     0.000        1   Camera#initialize
  0.00      0.000     0.000     0.000     0.000        3   Magick::ClassType#initialize
  0.00      0.000     0.000     0.000     0.000        3   Hash#fetch
  0.00      0.000     0.000     0.000     0.000        1   Gem::Requirement#none?
  0.00      0.000     0.000     0.000     0.000        1   Array#map!
  0.00      0.000     0.000     0.000     0.000        1   <Module::Singleton>#append_features
  0.00      0.000     0.000     0.000     0.000        3   Exception#exception
  0.00      0.000     0.000     0.000     0.000        2   <Object::Object>#[]
  0.00      0.000     0.000     0.000     0.000        5   Gem::Specification#platform
  0.00      0.000     0.000     0.000     0.000        2   <Module::Exception2MessageMapper>#def_e2message
  0.00      0.000     0.000     0.000     0.000        1   Gosu::TexturePacker::Tileset#meta
  0.00      0.052     0.000     0.000     0.052        1   <Class::Gosu::TexturePacker::Tileset>#load_json
  0.00      0.000     0.000     0.000     0.000        1   Magick::ImageList#first
  0.00      0.000     0.000     0.000     0.000        4   Module#<
  0.00      0.000     0.000     0.000     0.000        3   Kernel#proc
